Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.15615,2.0,55,790,2079,11.730902262899999
0.15615,2.0,56,976,2412,10.815824242
0.15615,2.0,57,757,1907,9.643471798630001
0.15615,2.0,58,693,1958,10.5769111371
0.15615,2.0,59,760,2082,13.6484501027
0.15615,2.0,6,664,1868,10.1973696595
0.15615,2.0,60,637,1837,11.076342354000001
0.15615,2.0,61,684,1850,10.2993598076
0.15615,2.0,62,571,1537,9.38850872257
0.15615,2.0,63,651,1636,8.44714135425
0.15615,2.0,64,747,1973,9.72323119446
0.15615,2.0,65,628,1964,13.293906101400001
0.15615,2.0,66,761,1867,8.89746087131
0.15615,2.0,67,647,1743,8.21014513335
0.15615,2.0,68,787,2095,9.400478487889998
0.15615,2.0,69,895,2137,12.827381770499999
0.15615,2.0,7,912,2110,9.28587173816
0.15615,2.0,70,636,1701,9.29638186049
0.15615,2.0,71,705,1923,10.362745098
0.15615,2.0,72,642,1822,11.2917427225
0.15615,2.0,73,869,2318,10.8831175862
0.15615,2.0,74,849,2027,9.988376704830001
0.15615,2.0,75,850,2119,8.44264633784
0.15615,2.0,76,811,2389,10.4779087688
0.15615,2.0,77,876,2356,9.29977580532
0.15615,2.0,78,869,2268,13.2639385692
0.15615,2.0,79,834,2050,11.4469122869
0.15615,2.0,8,658,1826,9.01125242926
0.15615,2.0,80,528,1523,12.239667224100002
0.15615,2.0,81,663,1733,9.87343557292
0.15615,2.0,82,758,2080,7.4985905401499995
0.15615,2.0,83,843,2622,11.4010673897
0.15615,2.0,84,713,1794,10.4315431354
0.15615,2.0,85,788,2124,10.79699844
0.15615,2.0,86,851,2135,12.003472368699999
0.15615,2.0,87,707,1899,10.6399065163
0.15615,2.0,88,812,2154,9.92822528639
0.15615,2.0,89,715,1852,9.186964438019999
0.15615,2.0,9,714,2035,12.076075082200001
0.15615,2.0,90,581,1641,9.71742468684
0.15615,2.0,91,888,2102,13.5559006722
0.15615,2.0,92,918,2111,11.292704188699998
0.15615,2.0,93,967,2340,9.82786057343
0.15615,2.0,94,679,1899,10.3539173944
0.15615,2.0,95,722,1937,10.728482413
0.15615,2.0,96,672,2096,9.4427391291
0.15615,2.0,97,709,1889,10.8771413151
0.15615,2.0,98,682,1777,8.71097169684
0.15615,2.0,99,839,2142,11.648420668800002
0.15615,2.2475,0,313,1046,8.553251174260001
0.15615,2.2475,1,289,970,11.7565593211
0.15615,2.2475,10,198,913,11.175943838299998
0.15615,2.2475,11,304,970,14.9050823501
0.15615,2.2475,12,259,871,11.4987693479
0.15615,2.2475,13,420,1322,12.7279851907
0.15615,2.2475,14,333,1058,12.4660144776
0.15615,2.2475,15,386,1137,14.634442005799999
0.15615,2.2475,16,177,766,10.699719358400001
0.15615,2.2475,17,228,823,10.915949019200001
0.15615,2.2475,18,281,824,10.901203092000001
0.15615,2.2475,19,496,1494,11.552192353199999
0.15615,2.2475,2,300,1045,10.769632361900001
0.15615,2.2475,20,323,988,8.45397764818
0.15615,2.2475,21,237,781,11.680745803099999
0.15615,2.2475,22,330,965,9.087005014510002
0.15615,2.2475,23,200,708,12.5622886335
0.15615,2.2475,24,440,1363,12.0528768514
0.15615,2.2475,25,220,831,12.0292815881
0.15615,2.2475,26,307,969,11.1150312255
