Time,I, R, S
0.503703124649,395,73,9532
0.504281956639,396,73,9531
0.504549030043,395,74,9531
0.505392290703,396,74,9530
0.505602623519,397,74,9529
0.505820477292,398,74,9528
0.505923586164,399,74,9527
0.505929020895,400,74,9526
0.506544788766,401,74,9525
0.506593066672,402,74,9524
0.507085101493,401,75,9524
0.50843030931,402,75,9523
0.508607533911,403,75,9522
0.50934880256,404,75,9521
0.509443559689,405,75,9520
0.511538296855,404,76,9520
0.511789243535,405,76,9519
0.511872710041,406,76,9518
0.512222357499,407,76,9517
0.512475728804,408,76,9516
0.513007145744,409,76,9515
0.514630650919,410,76,9514
0.515404672547,411,76,9513
0.5158624355,412,76,9512
0.516338347521,413,76,9511
0.517917607792,414,76,9510
0.518092743126,415,76,9509
0.518502741704,414,77,9509
0.518538589637,413,78,9509
0.5187379588,414,78,9508
0.519198191967,413,79,9508
0.519284548182,412,80,9508
0.520996479928,413,80,9507
0.521143340392,412,81,9507
0.521282795062,413,81,9506
0.522429322322,414,81,9505
0.523047529149,415,81,9504
0.523116848563,416,81,9503
0.524569581945,417,81,9502
0.524614350354,418,81,9501
0.524755778127,419,81,9500
0.524884345616,418,82,9500
0.525718701654,419,82,9499
0.525793434675,420,82,9498
0.525896748249,419,83,9498
0.52590138042,420,83,9497
0.525994995674,421,83,9496
0.526600187798,422,83,9495
0.526746577956,423,83,9494
0.527231945857,424,83,9493
0.52850470085,425,83,9492
0.528537715062,424,84,9492
0.529216564079,425,84,9491
0.529611120317,426,84,9490
0.52962298258,425,85,9490
0.529907576588,426,85,9489
0.530812511597,425,86,9489
0.532500370383,426,86,9488
0.532797748874,427,86,9487
0.533258224327,426,87,9487
0.533376698467,425,88,9487
0.533721075983,426,88,9486
0.534329878896,427,88,9485
0.534514800396,428,88,9484
0.534600216498,429,88,9483
0.534870918502,430,88,9482
0.535484984218,431,88,9481
0.535980162408,430,89,9481
0.537025162984,429,90,9481
0.537572320053,430,90,9480
0.537724907631,429,91,9480
0.538728629131,430,91,9479
0.538805651277,431,91,9478
0.538899181607,432,91,9477
0.539545662417,431,92,9477
0.539839918021,432,92,9476
0.540171569163,433,92,9475
0.540910326736,432,93,9475
0.541966097849,431,94,9475
0.543067071477,432,94,9474
0.543076862065,433,94,9473
0.543351951081,434,94,9472
0.543762822564,435,94,9471
0.543980525518,436,94,9470
0.546037676419,437,94,9469
0.546531678958,438,94,9468
0.54742549405,437,95,9468
0.547844378319,438,95,9467
0.548154361872,439,95,9466
0.548264532174,440,95,9465
0.550817114781,441,95,9464
0.550930418779,440,96,9464
0.550938879577,441,96,9463
0.551690261068,442,96,9462
0.551830565164,441,97,9462
0.552096258852,442,97,9461
0.553299499595,443,97,9460
0.553313567486,444,97,9459
0.554038642636,445,97,9458
0.554358088136,446,97,9457
0.555778083443,445,98,9457
0.555973934934,446,98,9456
0.555978455856,447,98,9455
0.55639986164,448,98,9454
0.556809954755,449,98,9453
0.556869681659,450,98,9452
0.556885896168,451,98,9451
0.556931538321,452,98,9450
0.557451143523,453,98,9449
0.558776983292,454,98,9448
0.559000376676,455,98,9447
0.559161346765,456,98,9446
0.560187275142,457,98,9445
0.560715463766,456,99,9445
0.560728930157,455,100,9445
0.561232005189,456,100,9444
0.56133579041,457,100,9443
0.561514381192,458,100,9442
0.561542812133,457,101,9442
0.561593850809,458,101,9441
0.56234969368,459,101,9440
0.562677627118,458,102,9440
0.562945817148,459,102,9439
0.563098397457,460,102,9438
0.564585663046,461,102,9437
0.564935873959,462,102,9436
0.565745265418,463,102,9435
0.566194146526,464,102,9434
0.568022709821,465,102,9433
0.568887842772,466,102,9432
0.569363976884,465,103,9432
0.569386891564,466,103,9431
0.569647618226,467,103,9430
0.570068247075,466,104,9430
0.570372011748,467,104,9429
0.570690305964,468,104,9428
0.571839730033,469,104,9427
0.573374030596,470,104,9426
0.573641894823,469,105,9426
0.573907627884,470,105,9425
0.574281102901,471,105,9424
0.574333448533,472,105,9423
0.574641323848,473,105,9422
0.575294782826,474,105,9421
0.57588791369,475,105,9420
0.576759444541,476,105,9419
0.577241162571,477,105,9418
0.577881461624,476,106,9418
0.578136822891,477,106,9417
0.578775628103,476,107,9417
0.578794895146,477,107,9416
0.578886313463,478,107,9415
0.579033086223,479,107,9414
0.57945624812,478,108,9414
0.579755361284,479,108,9413
0.58003076411,480,108,9412
0.580484522069,481,108,9411
0.580613384102,480,109,9411
0.583249075398,481,109,9410
0.58520827004,482,109,9409
0.585530104538,483,109,9408
0.586014074734,482,110,9408
0.586491172961,483,110,9407
0.586678603812,482,111,9407
0.586717878491,483,111,9406
0.586948872019,482,112,9406
0.587340530515,481,113,9406
0.588247765262,482,113,9405
0.588620272468,483,113,9404
0.588875914874,484,113,9403
0.589015822801,485,113,9402
0.589052552089,486,113,9401
0.589777887406,487,113,9400
0.589953159721,488,113,9399
0.590441273577,487,114,9399
0.590827445931,488,114,9398
0.590842497188,489,114,9397
0.591482448507,490,114,9396
0.591577627498,491,114,9395
0.592207488107,490,115,9395
0.59245633213,491,115,9394
0.593174282169,490,116,9394
0.593444790752,491,116,9393
0.594515977012,490,117,9393
0.594917277457,491,117,9392
0.595044721491,490,118,9392
0.59510522998,491,118,9391
0.595209200607,490,119,9391
0.595766483956,491,119,9390
0.596480565002,490,120,9390
0.597345692918,491,120,9389
0.597607259325,492,120,9388
0.598110816052,493,120,9387
0.599013885044,494,120,9386
0.599523956619,495,120,9385
0.601061147102,496,120,9384
0.601137242252,497,120,9383
0.60180584969,498,120,9382
0.602965204031,499,120,9381
0.60368838402,498,121,9381
0.604588768148,497,122,9381
0.604596968516,498,122,9380
0.604648168727,499,122,9379
0.604833440259,500,122,9378
0.604897160586,499,123,9378
0.605475546766,500,123,9377
0.605951559236,501,123,9376
0.606281911068,500,124,9376
0.606437154944,501,124,9375
0.606811703655,502,124,9374
0.607505576939,503,124,9373
0.607511393685,504,124,9372
0.607691617661,505,124,9371
0.608193551927,504,125,9371
0.608506136527,505,125,9370
0.60862425289,504,126,9370
0.60939989935,505,126,9369
